Designation,Capacity,Voltage,Lead spacing,DImensions,Max temp,Original brand used,Measured ESR,Replacement Mfr. #:,Replacement Mouser #:,
C6,680uF,200V,10mm,26mm x 50mm,105C,Rubycon,,LGU2D681MELA,647-LGU2D681MELA,
C7,680uF,200V,10mm,26mm x 50mm,105C,Rubycon,,LGU2D681MELA,647-LGU2D681MELA,
,,,,,,,,,,
C12,4.7uF,50V,2mm,5mm x 11mm,105C,Nicon,1.2,UPM1H4R7MDD ( 860160672005),647-UPM1H4R7MDD (710-860160672005),Nichicon (Wurth)
C15,220uF,50V,5mm,13mm x 22mm,105C,Nicon,0.08,UHW1H221MPD (860240678009),647-UHW1H221MPD (710-860240678009),Nichicon (Wurth)
C16,22uF,50V,2mm,6mm x 11mm,105C,Nicon,0.76,EEU-FR1H220,667-EEU-FR1H220,
C17,1uF,50V,2mm,5mm x 11mm,105C,Nicon,4.2,50YXF1MEFC5X11,232-50YXF1MEFC5X11,
C19,22uF,50V,2mm,6mm x 11mm,105C,Nicon,0.7,EEU-FR1H220,667-EEU-FR1H220,
C22,10uF,50V,2mm,5mm x 11mm,105C,Nicon,1,EEU-FR1H100,667-EEU-FR1H100,
C23,4.7uF,50V,2mm,5mm x 11mm,105C,Nicon,1.2,UPM1H4R7MDD ( 860160672005),647-UPM1H4R7MDD (710-860160672005),Nichicon (Wurth)
C24,1uF,50V,2mm,5mm x 11mm,105C,Nicon,3,50YXF1MEFC5X11,232-50YXF1MEFC5X11,
C25,4.7uF,50V,2mm,5mm x 11mm,105C,Nicon,2.2,UPM1H4R7MDD ( 860160672005),647-UPM1H4R7MDD (710-860160672005),Nichicon (Wurth)
C26,1uF,50V,2mm,5mm x 11mm,105C,Nicon,3.8,50YXF1MEFC5X11,232-50YXF1MEFC5X11,
C27,4.7uF,50V,2mm,5mm x 11mm,105C,Nicon,2,UPM1H4R7MDD ( 860160672005),647-UPM1H4R7MDD (710-860160672005),Nichicon (Wurth)
C28,4700uF,10V,7mm,16mm x 30mm,105C,Nicon,0.03,UPW1C472MHD,647-UPW1C472MHD,
C29,4700uF,10V,7mm,16mm x 30mm,105C,Nicon,0.03,UPW1C472MHD,647-UPW1C472MHD,
C30,4700uF,10V,7mm,16mm x 30mm,105C,Nicon,0.04,UPW1C472MHD,647-UPW1C472MHD,
C31,4700uF,16V,7mm,16mm x 38mm,105C,Nicon,0.05,UPW1C472MHD,647-UPW1C472MHD,
C32,4700uF,16V,7mm,16mm x 38mm,105C,Nicon,0.03,UPW1C472MHD,647-UPW1C472MHD,
C33,470uF,16V,5mm,10mm x 16mm,105C,Nicon,0.21,UHE1E471MPD6TD,647-UHE1E471MPD6TD,
C34,47uF,16V,2mm,5mm x 11mm,105C,Nicon,2,ESY476M016AC3AA,80-ESY476M016AC3AA,
C35,47uF,16V,2mm,5mm x 11mm,105C,Nicon,2.5,ESY476M016AC3AA,80-ESY476M016AC3AA,
C36,47uF,16V,2mm,5mm x 11mm,105C,Nicon,1.9,ESY476M016AC3AA,80-ESY476M016AC3AA,
C37,470uF,16V,5mm,10mm x 16mm,105C,Nicon,0.26,UHE1E471MPD6TD,647-UHE1E471MPD6TD,
C38,470uF,25V,5mm,10mm x 20mm,105C,Nicon,0.14,UHE1E471MPD6TD,647-UHE1E471MPD6TD,